基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
007696,嘉实融享货币,货币型-浮动净值,139.65,嘉实基金,112.0572,张文玥,2019-08-21,None,None,6.85%,None
007869,汇添富汇鑫货币B,货币型-浮动净值,0.47,汇添富基金,110.3237,王骏杰,2020-08-26,None,None,5.47%,None
007868,汇添富汇鑫货币A,货币型-浮动净值,0.05,汇添富基金,109.5749,王骏杰,2020-08-26,None,None,5.02%,None
007746,华安现金润利,货币型-浮动净值,0.64,华安基金,109.1949,孙丽娜,2021-03-08,None,None,5.51%,None
007858,鹏华浮动净值型发起式货币,货币型-浮动净值,0.11,鹏华基金,107.3704,叶朝明,2019-08-29,None,None,4.36%,None
007805,华宝浮动净值货币,货币型-浮动净值,0.12,华宝基金,105.9490,陈昕,2019-09-06,0.12%,-1.01,4.19%,None
007708,中银瑞福浮动净值型货币A,货币型-浮动净值,0.01,中银基金,103.4475,范静,2019-09-10,None,None,4.89%,None
007709,中银瑞福浮动净值型货币C,货币型-浮动净值,0.06,中银基金,103.4475,范静,2019-09-10,None,None,4.99%,None
003816,银华日利B,货币型-普通货币,22.59,银华基金,101.0990,王树丽,2018-06-07,None,None,6.24%,11.36%
511880,银华日利A,货币型-普通货币,836.25,银华基金,100.9640,王树丽,2018-06-07,1.45%,0.20,5.47%,10.03%
184801,鹏华前海万科REITS,REITs,29.91,鹏华基金,99.3930,刘方正,2015-08-06,2.72%,-0.01,4.52%,19.19%
070002,嘉实增长混合,混合型-偏股,22.36,嘉实基金,13.9427,归凯,2018-12-04,15.65%,-1.09,-39.73%,22.11%
000011,华夏大盘精选混合A,混合型-灵活,32.63,华夏基金,12.6780,屠环宇,2024-03-26,18.01%,-0.83,-34.98%,4.70%
012628,华夏大盘精选混合C,混合型-灵活,0.13,华夏基金,12.3840,屠环宇,2024-03-26,18.01%,-0.86,-36.48%,None
910004,东方红启恒三年持有混合A,混合型-偏股,6.51,东方红资产管理,9.5163,张锋,2021-04-21,16.60%,-0.60,-23.42%,None
011724,东方红启恒三年持有混合B,混合型-偏股,99.46,东方红资产管理,9.1101,张锋,2021-04-21,16.60%,-0.68,-26.59%,None
166301,华商新趋势优选灵活配置混合,混合型-灵活,104.65,华商基金,9.0950,周海栋,2015-05-14,21.11%,0.36,30.11%,225.75%
260104,景顺长城内需增长混合,混合型-偏股,23.12,景顺长城基金,7.3680,刘彦春,2018-02-10,22.10%,-0.91,-46.07%,10.63%
162204,宏利行业精选混合A,混合型-偏股,6.62,宏利基金,6.3809,孟杰,2021-12-30,18.83%,-0.51,-22.47%,86.55%
015601,宏利行业精选混合C,混合型-偏股,0.47,宏利基金,6.2845,孟杰,2022-06-10,None,None,None,None
240008,华宝收益增长混合A,混合型-灵活,5.95,华宝基金,6.1898,毛文博,2015-04-09,19.72%,-0.64,-29.74%,26.90%
015573,华宝收益增长混合C,混合型-灵活,0.01,华宝基金,6.1064,毛文博,2022-04-22,None,None,None,None
660015,农银行业轮动混合A,混合型-偏股,4.52,农银汇理基金,5.8848,邢军亮,2021-07-15,26.69%,-0.13,-6.11%,111.81%
015850,农银行业轮动混合C,混合型-偏股,1.46,农银汇理基金,5.8364,邢军亮,2022-05-26,None,None,None,None
040035,华安逆向策略混合A,混合型-偏股,38.90,华安基金,5.5640,万建军,2022-01-26,19.77%,-0.36,-16.12%,104.94%
013638,华安逆向策略混合C,混合型-偏股,0.26,华安基金,5.4750,万建军,2022-01-26,None,None,None,None
000929,博时黄金D,指数型-其他,0.08,博时基金,5.4639,赵云阳,2015-10-08,11.21%,1.10,47.59%,72.04%
090018,大成新锐产业混合A,混合型-偏股,71.90,大成基金,5.4040,韩创,2019-01-10,20.97%,0.12,12.40%,223.40%
018460,大成新锐产业混合C,混合型-偏股,0.41,大成基金,5.3760,韩创,2023-05-31,None,None,None,None
