代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
562360,银华中证机器人ETF,大盘成长股票,0,0,2024-07-04,0.6704,-0.0061,-17.42
013296,民生加银聚优精选混合,沪港深积极配置,0,0,2024-07-04,0.4421,-0.0019,-20.97
013425,博时标普500ETF联接（QDII）AUSD,QDII美国股票,0,0,2024-07-03,$0.5992,0.0027,13.57
013499,博时标普500ETF联接（QDII）CUSD,QDII美国股票,0,0,2024-07-03,$0.5846,0.0026,13.38
013500,南方金融主题灵活配置混合C,积极配置 - 大盘平衡,0,0,2024-07-04,0.8611,-0.0245,-17.83
013501,南方品质优选灵活配置混合C,灵活配置,0,0,2024-07-04,1.8835,-0.0054,13.67
013489,广发东财大数据精选灵活配置混合C,灵活配置,0,0,2024-07-04,1.0430,-0.0048,-12.15
013248,交银鸿泰一年持有期混合A,沪港深保守混合,0,0,2024-07-04,0.9905,-0.0012,3.70
012242,华安添荣中短债债券A,短债,0,0,2024-07-04,1.0768,0.0002,2.61
012954,华泰柏瑞恒利混合C,沪港深保守混合,0,0,2024-07-04,1.1365,-0.0010,4.30
013249,交银鸿泰一年持有期混合C,沪港深保守混合,0,0,2024-07-04,0.9802,-0.0013,3.48
013297,嘉合磐固一年定开纯债债券,纯债（封闭式）,0,0,2024-06-30,1.0355,0.0002,3.23
012953,华泰柏瑞恒利混合A,沪港深保守混合,0,0,2024-07-04,1.1430,-0.0010,4.41
012320,西藏东财国证消费电子主题指数增强C,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.6674,-0.0036,-3.30
516130,华宝中证消费龙头ETF,行业股票 - 消费,0,0,2024-07-04,0.7020,-0.0047,-4.23
012319,西藏东财国证消费电子主题指数增强A,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.6729,-0.0036,-3.15
013115,鑫元金融债3个月定期开放债券,利率债（封闭式）,0,0,2024-07-04,1.0276,-0.0003,2.40
159896,南方中证物联网主题ETF,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.6690,-0.0054,-4.39
013093,汇添富中证沪港深科技龙头指数A,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.6482,-0.0022,-2.08
012806,招商添呈1年定开债券,纯债（封闭式）,0,0,2024-06-30,1.0157,0.0001,1.92
013094,汇添富中证沪港深科技龙头指数C,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.6433,-0.0021,-2.28
159895,易方达中证物联网主题ETF,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.7160,-0.0056,-4.35
159777,国联安创业板科技ETF,大盘成长股票,0,0,2024-07-04,0.5579,-0.0076,-12.91
012132,华泰保兴价值成长混合A,积极配置 - 大盘平衡,0,0,2024-07-04,0.7522,-0.0042,6.17
012177,华泰保兴价值成长混合C,积极配置 - 大盘平衡,0,0,2024-07-04,0.7482,-0.0041,6.07
013270,前海开源聚利一年持有混合A,沪港深积极配置,0,0,2024-07-04,0.7397,-0.0013,14.05
013271,前海开源聚利一年持有混合C,沪港深积极配置,0,0,2024-07-04,0.7378,-0.0014,13.98
013569,天弘永利优佳混合A,沪港深保守混合,0,0,2024-07-04,0.9877,-0.0005,1.52
013570,天弘永利优佳混合C,沪港深保守混合,0,0,2024-07-04,0.9768,-0.0005,1.31
013443,建信创业板ETF联接基金E,大盘成长股票,0,0,2024-07-04,1.1079,-0.0080,-11.25
013442,建信中证1000指数增强E,中盘成长股票,0,0,2024-07-04,1.2273,-0.0259,-16.33
013444,建信上证50ETF联接基金E,大盘平衡股票,0,0,2024-07-04,1.0988,-0.0029,3.43
013404,大成标普500等权重指数（QDII）美元A,QDII美国股票,0,0,2024-07-03,$0.3380,0.0002,0.30
159701,招商中证物联网主题ETF,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.6689,-0.0053,-4.44
012948,兴证全球恒利一年定开债券,纯债（封闭式）,0,0,2024-07-04,1.0685,0.0001,2.43
011880,国泰中债1-5年政策性金融债指数A,利率债,0,0,2024-07-04,1.0612,-0.0002,2.79
011881,国泰中债1-5年政策性金融债指数C,利率债,0,0,2024-07-04,1.0586,-0.0002,2.74
012893,安信优质企业三年持有混合C,沪港深积极配置,0,0,2024-07-04,0.7052,-0.0046,-3.98
012892,安信优质企业三年持有混合A,沪港深积极配置,0,0,2024-07-04,0.7146,-0.0047,-3.74
013372,民生加银新能源智选混合C,积极配置 - 大盘平衡,0,0,2024-07-04,0.4762,-0.0080,-15.42
013371,民生加银新能源智选混合A,积极配置 - 大盘平衡,0,0,2024-07-04,0.4815,-0.0081,-15.24
013374,中银证券安业债券C,纯债,0,0,2024-07-04,1.0669,0.0001,2.10
012746,富国双利增强债券A,积极债券,0,0,2024-07-04,0.9454,-0.0021,0.89
517090,国泰富时中国国企开放共赢ETF,沪港深股票,0,0,2024-07-04,1.5246,-0.0002,26.50
013373,中银证券安业债券A,纯债,0,0,2024-07-04,1.0697,0.0002,2.26
013577,华安众悦60天滚动持有短债A,短债,0,0,2024-07-04,1.0930,0.0000,1.74
012931,平安双季盈6个月持有债券A,纯债,0,0,2024-07-04,1.1127,0.0001,2.52
012212,天弘中证高端装备制造指数增强A,大盘平衡股票,0,0,2024-07-04,0.6881,-0.0041,-1.39
517180,南方富时中国国企开放共赢ETF,沪港深股票,0,0,2024-07-04,1.6179,-0.0004,26.98
012747,富国双利增强债券C,积极债券,0,0,2024-07-04,0.9403,-0.0021,0.88
588280,华安上证科创板50ETF,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.5002,-0.0082,-18.96
013578,华安众悦60天滚动持有短债C,短债,0,0,2024-07-04,1.0868,0.0001,1.64
012932,平安双季盈6个月持有债券C,纯债,0,0,2024-07-04,1.1055,0.0002,2.40
012213,天弘中证高端装备制造指数增强C,大盘平衡股票,0,0,2024-07-04,0.6829,-0.0041,-1.54
013531,浙商聚潮产业成长混合C,积极配置 - 大盘平衡,0,0,2024-07-04,1.3270,-0.0280,-10.22
013530,弘毅远方国企转型升级混合C,积极配置 - 大盘成长,0,0,2024-07-04,1.0912,-0.0116,-11.25
013646,景顺景泰鼎利一年定开纯债C,纯债（封闭式）,0,0,2024-07-04,1.0548,0.0002,2.48
013645,景顺景泰鼎利一年定开纯债A,纯债（封闭式）,0,0,2024-07-04,1.0555,0.0003,2.47
013511,汇丰晋信低碳先锋股票C,大盘成长股票,0,0,2024-07-04,1.8475,-0.0429,-24.51
013543,英大安惠纯债债券E,纯债,0,0,2024-07-04,1.0538,-0.0001,1.68
013509,广发亚太中高收益债券（QDII）美元 C,QDII环球债券,0,0,2024-07-03,$0.1611,0.0002,-0.06
013508,广发亚太中高收益债券（QDII）人民币 C,QDII环球债券,0,0,2024-07-03,1.1489,0.0016,0.61
013532,广发安宏回报灵活配置混合E,灵活配置,0,0,2024-07-04,0.7493,-0.0062,-3.71
013533,广发科技创新混合C,积极配置 - 大盘成长,0,0,2024-07-04,1.3151,-0.0101,-5.64
013587,英大纯债 - E,普通债券,0,0,2024-07-04,1.1409,-0.0009,3.30
013546,财通资管鸿享30天滚动持有中短债A,短债,0,0,2024-07-04,1.0430,0.0000,3.58
013547,财通资管鸿享30天滚动持有中短债C,短债,0,0,2024-07-04,1.0389,0.0000,3.47
013097,财通资管双盈债券A,积极债券,0,0,2024-07-04,1.0416,-0.0007,0.66
013098,财通资管双盈债券C,积极债券,0,0,2024-07-04,1.0301,-0.0007,0.46
013513,长安先进制造混合A,沪港深积极配置,0,0,2024-07-04,0.5617,-0.0002,9.86
013514,长安先进制造混合C,沪港深积极配置,0,0,2024-07-04,0.5542,-0.0002,9.57
012900,招商创业板指数增强A,沪港深股票,0,0,2024-07-04,0.4753,-0.0050,-10.25
012901,招商创业板指数增强C,沪港深股票,0,0,2024-07-04,0.4704,-0.0050,-10.43
013345,富荣信息技术混合A,行业混合 - 科技、传媒及通讯,0,0,2024-07-04,0.7526,-0.0147,-3.49
